chords
G6
G/B
D/C#
A6/9
Edim
Ab713
D#o
Dadd9
Dmaj7
Cmin6/nr
G/E
EE
Db/Eb
A
E4
D#/G
C6/A
Badd4/C#
DtDm7
slide
C#7/#9
Bm7/11
Fsus2
x6
F/C
Em/A
DsusD
F7/A
Cadd
Seven
Gbdim7
Asus4
C#5
D7/F#
Bbm/G#
X4
B7sus4
Dsus2Dm
C/9
G9
Eb6x
Bm/G
Dbadd9
Dsus2/E
C#m9
Abadd4
E/F#
Bbm11
AmG
B
Emaj7
D9/F
tF
D9/C#
C#sus2
Ebm9
F#7/13
Eaug
Gm6
GAm
E/A
Bbmaj7
G11/C
Bb7M
G
B7M
Badd6
GA
Am/F
Gb7
or
Gm7
B6
C2x
Gb/Ab
E7/
Em6/9
D#m6
C2/E
Ebm7
Gm6/D
Bm/E
Dbmaj7
D#7
Cadd4
G7/13
Asus9
D72x
Am7/13
C
Gsus4/A
Dmno5
several
D92X
D/
F6/D
once
Dm7/C
Fmaj7/C
then
B/D#
FM7
Dbdim
G7/A
Csus
A13
Esus
x17
Badd9
Dm/G
A7M
dedilhado
Em7/9
Fsus
C#m5/7
Dm7/9
Dmaj7/A
C#m/G#
Cm7M/B
Abmaj9/C
Bb7/4
G/F
G7m
Bb/D
E5
strings
G46
2x
Db/G#
Amaj9
Em5/7
Bbdim7
Gbmaj7
Dsus2/G
G6/D
G/Bb
AF#m
D5/A
Bb9
twice
Em9
G#m13
A#
A/B
C#sus9
C7M/9
Esus2/4
x2
Fdim
tA
Badd4
Gm7/F
Ab/Eb
Am7/E
D/A
C11
FF#G
At
Bbm/F#
Dadd11
G4
A#m
Eb7M
Badd11
A2/E
Em7/Bb
BEbm4x
G7/B
Fsus4
Bdim
A#/D
AG
Dbadd9/Ab
G#7
E7sus4
Esus2
Am3x
A9
Ab/C
A/G
Bm
Bb4
Em6
tF#m
Gm5
Dadd9/F#
B3X
G6/B
D9/F#
2ai
F#m11
Bb7/Ab
Gbm
Eone
B7b9
G7add9
B/G#
C/F
Eb6
B4/C#
Am/D
Ab/Bb
EmDD7GEmF#mEmA7D
E
Dsus4/A
Ab6
Em7tt
G7sus4
Eb92x
F#4/7
Dm75
D/G
E7M
E4x
Abdim
D7/C
Bm11
Adim
Dsus2/C
Amaj7/E
F7/4
Bm6
C7M/B
G/C
DEm
A9/G
DA
G#
AmDm
C#m
Bb97
Em4x
Dbsus4/Gb
D5/C#
C/G
F#/G
Ax2
Bb7/9
F6/B
x14
Guitar
C#
G4/C
F7
F#/B
Dm/B
F9/G
FEb
F#m/D
Asus2/F
F#7M
A59
D9/B
D4
x
Daug
B7b13
Bm75
Csus4
F2
4X
A/D
